5.3.2.20 Credential Table Group - C_EC_256 (Object Table)
Table 193 C_EC_256 Table Description
| Column Number | Column Name | IsUnique | Column Type            |
|---------------|-------------|----------|------------------------|
| 0x00          | UID         |          | uid                    |
| 0x01          | Name        | Yes      | name                   |
| 0x02          | CommonName  | Yes      | name                   |
| 0x03          | p           |          | uinteger_36            |
| 0x04          | r           |          | uinteger_36            |
| 0x05          | b           |          | uinteger_36            |
| 0x06          | x           |          | uinteger_36            |
| 0x07          | y           |          | uinteger_36            |
| 0x08          | alpha       |          | uinteger_36            |
| 0x09          | u           |          | uinteger_36            |
| 0x0A          | v           |          | uinteger_36            |
| 0x0B          | Hash        |          | hash_protocol          |
| 0x0C          | ChainLimit  |          | integer_1              |
| 0x0D          | Certificate |          | Certificates_object_ref |
