5.5.2 Terminology
Table 217 Clock Template Terminology
| Term               | Definition                                                                                                                                                                                                                                                                                                                     |
|--------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| ExactTime          | ExactTime is a time value represented by the clock_time type. ExactTime is a return value in the GetClock method and a parameter of the SetClockHigh and SetClockLow methods.                                                                                                                                                |
| HighTime           | HighTime represents the actual current High Trust time value, which is the value of the HighSetTime column plus the time elapsed on the IncrementalClock since the HighSetTime value was set. This is the value returned as ExactTime when GetClock is invoked and High Trust time is returned.                                   |
| High Trust         | A time value retrieved from a remote but strongly protected source of time                                                                                                                                                                                                                                                    |
| IncrementalClock   | Each Clock Template-enabled SP SHALL have an incremental clock that is accessible from the TPer and is used to measure time intervals.                                                                                                                                                                                      |
| LagTime            | The time period recorded by the Host Application between when it read time from its time source and when it received the OK result from the SP upon successful receipt and processing of the ExactTime parameter of the SetClockHigh or SetClockLow method.                                                                    |
| LowTime            | LowTime represents the actual current Low Trust time value, which is the value of the LowSetTime column plus the time elapsed on the IncrementalClock since the LowSetTime value was set. This is the value returned as ExactTime when GetClock is invoked and Low Trust time is returned.                                     |
| Low Trust          | An immediate but not strongly protected source of time, such as the local PC clock                                                                                                                                                                                                                                             |
| MonotonicTime      | A 64-bit persistent counter needed for clock requests that require a counter. MonotonicTime operations increment the counter independent of transactions and of the Read/Write state of the session.                                                                                                                         |
| MonotonicIncrement | This is a counter kept in main memory that is used to reduce the number of writes to media that are needed to support the MonotonicTime counter.                                                                                                                                                                            |
| Timer Mode         | The Clock Template-enabled SP operates in this mode after a power cycle/hardware reset, or if time values have never been set. Retrieving the time in Timer mode returns the value of IncrementalClock and MonotonicTime.                                                                                                    |
